ENSEMBL	SYMBOL	GENENAME	GO	EVIDENCE	ONTOLOGY	PATH
FBgn0003360	sesB	stress-sensitive B	GO:0001508	IDA	BP	NA
FBgn0003360	sesB	stress-sensitive B	GO:0005471	IEA	MF	NA
FBgn0003360	sesB	stress-sensitive B	GO:0005471	IMP	MF	NA
FBgn0003360	sesB	stress-sensitive B	GO:0005739	HDA	CC	NA
FBgn0003360	sesB	stress-sensitive B	GO:0005739	IDA	CC	NA
FBgn0003360	sesB	stress-sensitive B	GO:0005743	IDA	CC	NA
FBgn0003360	sesB	stress-sensitive B	GO:0005743	IEA	CC	NA
FBgn0003360	sesB	stress-sensitive B	GO:0006839	IMP	BP	NA
FBgn0003360	sesB	stress-sensitive B	GO:0007268	IDA	BP	NA
FBgn0003360	sesB	stress-sensitive B	GO:0008340	IMP	BP	NA
FBgn0003360	sesB	stress-sensitive B	GO:0010507	IDA	BP	NA
FBgn0003360	sesB	stress-sensitive B	GO:0034599	IMP	BP	NA
FBgn0003360	sesB	stress-sensitive B	GO:0040011	IMP	BP	NA
FBgn0003360	sesB	stress-sensitive B	GO:0046716	IMP	BP	NA
FBgn0003360	sesB	stress-sensitive B	GO:0048477	IMP	BP	NA
FBgn0003360	sesB	stress-sensitive B	GO:0048489	IDA	BP	NA
FBgn0003360	sesB	stress-sensitive B	GO:0051124	IMP	BP	NA
FBgn0003360	sesB	stress-sensitive B	GO:0051480	IMP	BP	NA
FBgn0003360	sesB	stress-sensitive B	GO:0051560	IMP	BP	NA
FBgn0003360	sesB	stress-sensitive B	GO:0051900	IMP	BP	NA
FBgn0003360	sesB	stress-sensitive B	GO:0055085	IEA	BP	NA
FBgn0003360	sesB	stress-sensitive B	GO:0070050	IMP	BP	NA
FBgn0003360	sesB	stress-sensitive B	GO:0140021	IEA	BP	NA
FBgn0003360	sesB	stress-sensitive B	GO:1901029	IBA	BP	NA
FBgn0003360	sesB	stress-sensitive B	GO:1990544	IEA	BP	NA
FBgn0003360	sesB	stress-sensitive B	GO:2001171	IMP	BP	NA
FBgn0029167	Hml	Hemolectin	GO:0005576	IDA	CC	04512
FBgn0029167	Hml	Hemolectin	GO:0005576	IEA	CC	04512
FBgn0029167	Hml	Hemolectin	GO:0005615	IBA	CC	04512
FBgn0029167	Hml	Hemolectin	GO:0007599	IEP	BP	04512
FBgn0029167	Hml	Hemolectin	GO:0007599	IMP	BP	04512
FBgn0029167	Hml	Hemolectin	GO:0008061	IEA	MF	04512
FBgn0029167	Hml	Hemolectin	GO:0031012	IBA	CC	04512
FBgn0029167	Hml	Hemolectin	GO:0042060	IMP	BP	04512
FBgn0029167	Hml	Hemolectin	GO:0042381	IMP	BP	04512
FBgn0029167	Hml	Hemolectin	GO:0042803	IDA	MF	04512
FBgn0025111	Ant2	Adenine nucleotide translocase 2	GO:0005471	IEA	MF	NA
FBgn0025111	Ant2	Adenine nucleotide translocase 2	GO:0005471	ISS	MF	NA
FBgn0025111	Ant2	Adenine nucleotide translocase 2	GO:0005743	IEA	CC	NA
FBgn0025111	Ant2	Adenine nucleotide translocase 2	GO:0005743	ISS	CC	NA
FBgn0025111	Ant2	Adenine nucleotide translocase 2	GO:0006839	ISS	BP	NA
FBgn0025111	Ant2	Adenine nucleotide translocase 2	GO:0055085	IEA	BP	NA
FBgn0025111	Ant2	Adenine nucleotide translocase 2	GO:0140021	IEA	BP	NA
FBgn0025111	Ant2	Adenine nucleotide translocase 2	GO:1901029	IBA	BP	NA
FBgn0025111	Ant2	Adenine nucleotide translocase 2	GO:1990544	IEA	BP	NA
FBgn0039827	CG1544	uncharacterized protein	GO:0004591	IEA	MF	NA
FBgn0039827	CG1544	uncharacterized protein	GO:0004591	ISS	MF	NA
FBgn0039827	CG1544	uncharacterized protein	GO:0006091	ISS	BP	NA
FBgn0039827	CG1544	uncharacterized protein	GO:0006099	IEA	BP	NA
FBgn0039827	CG1544	uncharacterized protein	GO:0016624	IEA	MF	NA
FBgn0039827	CG1544	uncharacterized protein	GO:0030976	IEA	MF	NA
FBgn0039827	CG1544	uncharacterized protein	GO:0031966	ISS	CC	NA
FBgn0035085	CG3770	uncharacterized protein	GO:0005918	ISS	CC	NA
FBgn0035085	CG3770	uncharacterized protein	GO:0016020	IBA	CC	NA
FBgn0034736	gas	gasoline	GO:0017171	HDA	MF	NA
FBgn0034736	gas	gasoline	GO:0106435	ISS	MF	NA
FBgn0264475	lncRNA:CR43883	long non-coding RNA:CR43883	NA	NA	NA	NA
FBgn0029896	CG3168	uncharacterized protein	GO:0016020	IEA	CC	04512
FBgn0029896	CG3168	uncharacterized protein	GO:0022857	IEA	MF	04512
FBgn0029896	CG3168	uncharacterized protein	GO:0055085	IEA	BP	04512
FBgn0027279	l(1)G0196	lethal (1) G0196	GO:0000827	ISS	MF	NA
FBgn0027279	l(1)G0196	lethal (1) G0196	GO:0000828	IBA	MF	NA
FBgn0027279	l(1)G0196	lethal (1) G0196	GO:0000829	IBA	MF	NA
FBgn0027279	l(1)G0196	lethal (1) G0196	GO:0000829	IEA	MF	NA
FBgn0027279	l(1)G0196	lethal (1) G0196	GO:0000832	ISS	MF	NA
FBgn0027279	l(1)G0196	lethal (1) G0196	GO:0005524	ISS	MF	NA
FBgn0027279	l(1)G0196	lethal (1) G0196	GO:0005829	IBA	CC	NA
FBgn0027279	l(1)G0196	lethal (1) G0196	GO:0005829	ISS	CC	NA
FBgn0027279	l(1)G0196	lethal (1) G0196	GO:0006020	IBA	BP	NA
FBgn0027279	l(1)G0196	lethal (1) G0196	GO:0006020	ISS	BP	NA
FBgn0027279	l(1)G0196	lethal (1) G0196	GO:0032958	IBA	BP	NA
FBgn0027279	l(1)G0196	lethal (1) G0196	GO:0033857	IBA	MF	NA
FBgn0027279	l(1)G0196	lethal (1) G0196	GO:0033857	ISS	MF	NA
FBgn0000071	Ama	Amalgam	GO:0005615	IDA	CC	NA
FBgn0000071	Ama	Amalgam	GO:0005886	IDA	CC	NA
FBgn0000071	Ama	Amalgam	GO:0007157	IPI	BP	NA
FBgn0000071	Ama	Amalgam	GO:0035633	IMP	BP	NA
FBgn0000071	Ama	Amalgam	GO:0045742	IGI	BP	NA
FBgn0000071	Ama	Amalgam	GO:0048018	IDA	MF	NA
FBgn0000071	Ama	Amalgam	GO:0060252	IMP	BP	NA
FBgn0000071	Ama	Amalgam	GO:1903977	IMP	BP	NA
FBgn0038832	CG15695	uncharacterized protein	NA	NA	NA	NA
FBgn0040091	Ugt317A1	UDP-glycosyltransferase family 317 member A1	GO:0008194	IBA	MF	00040
FBgn0040091	Ugt317A1	UDP-glycosyltransferase family 317 member A1	GO:0008194	IBA	MF	00053
FBgn0040091	Ugt317A1	UDP-glycosyltransferase family 317 member A1	GO:0008194	IBA	MF	00500
FBgn0040091	Ugt317A1	UDP-glycosyltransferase family 317 member A1	GO:0008194	IBA	MF	00514
FBgn0040091	Ugt317A1	UDP-glycosyltransferase family 317 member A1	GO:0008194	IBA	MF	00830
FBgn0040091	Ugt317A1	UDP-glycosyltransferase family 317 member A1	GO:0008194	IBA	MF	00860
FBgn0040091	Ugt317A1	UDP-glycosyltransferase family 317 member A1	GO:0008194	IBA	MF	00980
FBgn0040091	Ugt317A1	UDP-glycosyltransferase family 317 member A1	GO:0008194	IBA	MF	00982
FBgn0040091	Ugt317A1	UDP-glycosyltransferase family 317 member A1	GO:0008194	IBA	MF	00983
FBgn0040091	Ugt317A1	UDP-glycosyltransferase family 317 member A1	GO:0008194	IBA	MF	01100
FBgn0040091	Ugt317A1	UDP-glycosyltransferase family 317 member A1	GO:0008194	IEA	MF	00040
FBgn0040091	Ugt317A1	UDP-glycosyltransferase family 317 member A1	GO:0008194	IEA	MF	00053
FBgn0040091	Ugt317A1	UDP-glycosyltransferase family 317 member A1	GO:0008194	IEA	MF	00500
FBgn0040091	Ugt317A1	UDP-glycosyltransferase family 317 member A1	GO:0008194	IEA	MF	00514
FBgn0040091	Ugt317A1	UDP-glycosyltransferase family 317 member A1	GO:0008194	IEA	MF	00830
FBgn0040091	Ugt317A1	UDP-glycosyltransferase family 317 member A1	GO:0008194	IEA	MF	00860
FBgn0040091	Ugt317A1	UDP-glycosyltransferase family 317 member A1	GO:0008194	IEA	MF	00980
FBgn0040091	Ugt317A1	UDP-glycosyltransferase family 317 member A1	GO:0008194	IEA	MF	00982
FBgn0040091	Ugt317A1	UDP-glycosyltransferase family 317 member A1	GO:0008194	IEA	MF	00983
FBgn0040091	Ugt317A1	UDP-glycosyltransferase family 317 member A1	GO:0008194	IEA	MF	01100
FBgn0264753	Rgk1	Rad, Gem/Kir family member 1	GO:0003924	IEA	MF	NA
FBgn0264753	Rgk1	Rad, Gem/Kir family member 1	GO:0003924	ISM	MF	NA
FBgn0264753	Rgk1	Rad, Gem/Kir family member 1	GO:0005246	IBA	MF	NA
FBgn0264753	Rgk1	Rad, Gem/Kir family member 1	GO:0005246	IDA	MF	NA
FBgn0264753	Rgk1	Rad, Gem/Kir family member 1	GO:0005525	IBA	MF	NA
FBgn0264753	Rgk1	Rad, Gem/Kir family member 1	GO:0005525	IEA	MF	NA
FBgn0264753	Rgk1	Rad, Gem/Kir family member 1	GO:0005525	ISM	MF	NA
FBgn0264753	Rgk1	Rad, Gem/Kir family member 1	GO:0005886	IBA	CC	NA
FBgn0264753	Rgk1	Rad, Gem/Kir family member 1	GO:0007264	ISM	BP	NA
FBgn0264753	Rgk1	Rad, Gem/Kir family member 1	GO:0007615	IMP	BP	NA
FBgn0264753	Rgk1	Rad, Gem/Kir family member 1	GO:0009898	ISM	CC	NA
FBgn0264753	Rgk1	Rad, Gem/Kir family member 1	GO:0072375	IGI	BP	NA
FBgn0264753	Rgk1	Rad, Gem/Kir family member 1	GO:0072375	IMP	BP	NA
FBgn0264753	Rgk1	Rad, Gem/Kir family member 1	GO:0098793	IDA	CC	NA
FBgn0011260	Sema2a	Semaphorin 2a	GO:0005515	IPI	MF	NA
FBgn0011260	Sema2a	Semaphorin 2a	GO:0005576	ISS	CC	NA
FBgn0011260	Sema2a	Semaphorin 2a	GO:0005829	HDA	CC	NA
FBgn0011260	Sema2a	Semaphorin 2a	GO:0007411	IBA	BP	NA
FBgn0011260	Sema2a	Semaphorin 2a	GO:0007411	IMP	BP	NA
FBgn0011260	Sema2a	Semaphorin 2a	GO:0007629	IMP	BP	NA
FBgn0011260	Sema2a	Semaphorin 2a	GO:0007632	IMP	BP	NA
FBgn0011260	Sema2a	Semaphorin 2a	GO:0012505	HDA	CC	NA
FBgn0011260	Sema2a	Semaphorin 2a	GO:0016201	IMP	BP	NA
FBgn0011260	Sema2a	Semaphorin 2a	GO:0030215	IBA	MF	NA
FBgn0011260	Sema2a	Semaphorin 2a	GO:0030215	IEA	MF	NA
FBgn0011260	Sema2a	Semaphorin 2a	GO:0030335	IBA	BP	NA
FBgn0011260	Sema2a	Semaphorin 2a	GO:0030534	IMP	BP	NA
FBgn0011260	Sema2a	Semaphorin 2a	GO:0042756	IMP	BP	NA
FBgn0011260	Sema2a	Semaphorin 2a	GO:0045499	IBA	MF	NA
FBgn0011260	Sema2a	Semaphorin 2a	GO:0048843	IBA	BP	NA
FBgn0011260	Sema2a	Semaphorin 2a	GO:0050919	IBA	BP	NA
FBgn0011260	Sema2a	Semaphorin 2a	GO:0070983	IGI	BP	NA
FBgn0011260	Sema2a	Semaphorin 2a	GO:0071526	IBA	BP	NA
FBgn0011260	Sema2a	Semaphorin 2a	GO:0071678	IMP	BP	NA
FBgn0011260	Sema2a	Semaphorin 2a	GO:0097374	IGI	BP	NA
FBgn0011260	Sema2a	Semaphorin 2a	GO:0097374	IMP	BP	NA
FBgn0039419	CG12290	uncharacterized protein	GO:0001591	IBA	MF	NA
FBgn0039419	CG12290	uncharacterized protein	GO:0004930	IBA	MF	NA
FBgn0039419	CG12290	uncharacterized protein	GO:0004930	IEA	MF	NA
FBgn0039419	CG12290	uncharacterized protein	GO:0004930	ISS	MF	NA
FBgn0039419	CG12290	uncharacterized protein	GO:0007186	IEA	BP	NA
FBgn0039419	CG12290	uncharacterized protein	GO:0007186	ISS	BP	NA
FBgn0039419	CG12290	uncharacterized protein	GO:0016020	IEA	CC	NA
FBgn0039419	CG12290	uncharacterized protein	GO:0016020	ISS	CC	NA
FBgn0039419	CG12290	uncharacterized protein	GO:0071880	IBA	BP	NA
FBgn0051092	LpR2	Lipophorin receptor 2	GO:0005509	IEA	MF	NA
FBgn0051092	LpR2	Lipophorin receptor 2	GO:0005886	IBA	CC	NA
FBgn0051092	LpR2	Lipophorin receptor 2	GO:0005886	IDA	CC	NA
FBgn0051092	LpR2	Lipophorin receptor 2	GO:0006898	IDA	BP	NA
FBgn0051092	LpR2	Lipophorin receptor 2	GO:0016319	IMP	BP	NA
FBgn0051092	LpR2	Lipophorin receptor 2	GO:0032370	IMP	BP	NA
FBgn0051092	LpR2	Lipophorin receptor 2	GO:0071813	IPI	MF	NA
FBgn0035189	CG9119	uncharacterized protein	GO:0005634	IBA	CC	NA
FBgn0035189	CG9119	uncharacterized protein	GO:0005634	IEA	CC	NA
FBgn0035189	CG9119	uncharacterized protein	GO:0008150	ND	BP	NA
FBgn0035189	CG9119	uncharacterized protein	GO:0008270	IBA	MF	NA
FBgn0035189	CG9119	uncharacterized protein	GO:0008270	ISS	MF	NA
FBgn0035189	CG9119	uncharacterized protein	GO:0016788	IBA	MF	NA
FBgn0035189	CG9119	uncharacterized protein	GO:0016788	ISS	MF	NA
FBgn0023479	teq	Tequila	GO:0004252	IEA	MF	NA
FBgn0023479	teq	Tequila	GO:0004252	ISM	MF	NA
FBgn0023479	teq	Tequila	GO:0005044	IEA	MF	NA
FBgn0023479	teq	Tequila	GO:0005576	IEA	CC	NA
FBgn0023479	teq	Tequila	GO:0006508	IEA	BP	NA
FBgn0023479	teq	Tequila	GO:0006508	ISM	BP	NA
FBgn0023479	teq	Tequila	GO:0007614	IDA	BP	NA
FBgn0023479	teq	Tequila	GO:0007616	IMP	BP	NA
FBgn0023479	teq	Tequila	GO:0008061	IEA	MF	NA
FBgn0023479	teq	Tequila	GO:0016020	IEA	CC	NA
FBgn0023479	teq	Tequila	GO:0032024	IMP	BP	NA
FBgn0023479	teq	Tequila	GO:0042593	IMP	BP	NA
FBgn0037754	CG8500	uncharacterized protein	GO:0003924	IBA	MF	NA
FBgn0037754	CG8500	uncharacterized protein	GO:0003924	IEA	MF	NA
FBgn0037754	CG8500	uncharacterized protein	GO:0003924	ISS	MF	NA
FBgn0037754	CG8500	uncharacterized protein	GO:0005525	IBA	MF	NA
FBgn0037754	CG8500	uncharacterized protein	GO:0005525	IEA	MF	NA
FBgn0037754	CG8500	uncharacterized protein	GO:0005886	IBA	CC	NA
FBgn0037754	CG8500	uncharacterized protein	GO:0007165	IEA	BP	NA
FBgn0037754	CG8500	uncharacterized protein	GO:0007264	ISS	BP	NA
FBgn0037754	CG8500	uncharacterized protein	GO:0016020	IEA	CC	NA
FBgn0037754	CG8500	uncharacterized protein	GO:0019003	IBA	MF	NA
FBgn0033913	CG8468	uncharacterized protein	GO:0008028	IBA	MF	NA
FBgn0033913	CG8468	uncharacterized protein	GO:0015718	IBA	BP	NA
FBgn0033913	CG8468	uncharacterized protein	GO:0022857	IEA	MF	NA
FBgn0033913	CG8468	uncharacterized protein	GO:0055085	IEA	BP	NA
FBgn0034010	CG8157	uncharacterized protein	NA	NA	NA	NA
FBgn0261673	nemy	no extended memory	GO:0007613	IMP	BP	NA
FBgn0261673	nemy	no extended memory	GO:0007626	IMP	BP	NA
FBgn0261673	nemy	no extended memory	GO:0016491	IBA	MF	NA
FBgn0261673	nemy	no extended memory	GO:0016491	IEA	MF	NA
FBgn0261673	nemy	no extended memory	GO:0016722	ISS	MF	NA
FBgn0261673	nemy	no extended memory	GO:0046928	IMP	BP	NA
FBgn0261673	nemy	no extended memory	GO:0048167	IMP	BP	NA
FBgn0261673	nemy	no extended memory	GO:0140571	ISS	MF	NA
FBgn0262733	Src64B	Src oncogene at 64B	GO:0004672	IEA	MF	NA
FBgn0262733	Src64B	Src oncogene at 64B	GO:0004713	IEA	MF	NA
FBgn0262733	Src64B	Src oncogene at 64B	GO:0004715	IBA	MF	NA
FBgn0262733	Src64B	Src oncogene at 64B	GO:0004715	IDA	MF	NA
FBgn0262733	Src64B	Src oncogene at 64B	GO:0005102	IBA	MF	NA
FBgn0262733	Src64B	Src oncogene at 64B	GO:0005102	IPI	MF	NA
FBgn0262733	Src64B	Src oncogene at 64B	GO:0005524	IEA	MF	NA
FBgn0262733	Src64B	Src oncogene at 64B	GO:0005829	HDA	CC	NA
FBgn0262733	Src64B	Src oncogene at 64B	GO:0005886	HDA	CC	NA
FBgn0262733	Src64B	Src oncogene at 64B	GO:0006468	IBA	BP	NA
FBgn0262733	Src64B	Src oncogene at 64B	GO:0006468	IEA	BP	NA
FBgn0262733	Src64B	Src oncogene at 64B	GO:0007169	IBA	BP	NA
FBgn0262733	Src64B	Src oncogene at 64B	GO:0007293	IMP	BP	NA
FBgn0262733	Src64B	Src oncogene at 64B	GO:0007300	IMP	BP	NA
FBgn0262733	Src64B	Src oncogene at 64B	GO:0007301	IMP	BP	NA
FBgn0262733	Src64B	Src oncogene at 64B	GO:0007349	IMP	BP	NA
FBgn0262733	Src64B	Src oncogene at 64B	GO:0007411	IMP	BP	NA
FBgn0262733	Src64B	Src oncogene at 64B	GO:0007424	IMP	BP	NA
FBgn0262733	Src64B	Src oncogene at 64B	GO:0007435	IMP	BP	NA
FBgn0262733	Src64B	Src oncogene at 64B	GO:0007616	IMP	BP	NA
FBgn0262733	Src64B	Src oncogene at 64B	GO:0008064	IMP	BP	NA
FBgn0262733	Src64B	Src oncogene at 64B	GO:0008302	IMP	BP	NA
FBgn0262733	Src64B	Src oncogene at 64B	GO:0008335	IMP	BP	NA
FBgn0262733	Src64B	Src oncogene at 64B	GO:0016319	IMP	BP	NA
FBgn0262733	Src64B	Src oncogene at 64B	GO:0018108	IGI	BP	NA
FBgn0262733	Src64B	Src oncogene at 64B	GO:0030036	IMP	BP	NA
FBgn0262733	Src64B	Src oncogene at 64B	GO:0030046	IMP	BP	NA
FBgn0262733	Src64B	Src oncogene at 64B	GO:0030154	IBA	BP	NA
FBgn0262733	Src64B	Src oncogene at 64B	GO:0030708	IMP	BP	NA
FBgn0262733	Src64B	Src oncogene at 64B	GO:0030717	IMP	BP	NA
FBgn0262733	Src64B	Src oncogene at 64B	GO:0030723	IMP	BP	NA
FBgn0262733	Src64B	Src oncogene at 64B	GO:0031234	IBA	CC	NA
FBgn0262733	Src64B	Src oncogene at 64B	GO:0034332	IMP	BP	NA
FBgn0262733	Src64B	Src oncogene at 64B	GO:0035332	IGI	BP	NA
FBgn0262733	Src64B	Src oncogene at 64B	GO:0036058	IMP	BP	NA
FBgn0262733	Src64B	Src oncogene at 64B	GO:0045087	IBA	BP	NA
FBgn0262733	Src64B	Src oncogene at 64B	GO:0045172	IDA	CC	NA
FBgn0262733	Src64B	Src oncogene at 64B	GO:0045742	IGI	BP	NA
FBgn0262733	Src64B	Src oncogene at 64B	GO:0045743	IMP	BP	NA
FBgn0262733	Src64B	Src oncogene at 64B	GO:0045874	IGI	BP	NA
FBgn0262733	Src64B	Src oncogene at 64B	GO:0045886	IGI	BP	NA
FBgn0262733	Src64B	Src oncogene at 64B	GO:0048167	IGI	BP	NA
FBgn0262733	Src64B	Src oncogene at 64B	GO:0048477	IMP	BP	NA
FBgn0262733	Src64B	Src oncogene at 64B	GO:0090136	IMP	BP	NA
FBgn0262733	Src64B	Src oncogene at 64B	GO:0120176	IGI	BP	NA
FBgn0026562	SPARC	Secreted protein, acidic, cysteine-rich	GO:0005509	IBA	MF	NA
FBgn0026562	SPARC	Secreted protein, acidic, cysteine-rich	GO:0005509	IEA	MF	NA
FBgn0026562	SPARC	Secreted protein, acidic, cysteine-rich	GO:0005518	IBA	MF	NA
FBgn0026562	SPARC	Secreted protein, acidic, cysteine-rich	GO:0005615	IBA	CC	NA
FBgn0026562	SPARC	Secreted protein, acidic, cysteine-rich	GO:0005615	IDA	CC	NA
FBgn0026562	SPARC	Secreted protein, acidic, cysteine-rich	GO:0005615	IEA	CC	NA
FBgn0026562	SPARC	Secreted protein, acidic, cysteine-rich	GO:0007155	ISS	BP	NA
FBgn0026562	SPARC	Secreted protein, acidic, cysteine-rich	GO:0007443	IMP	BP	NA
FBgn0026562	SPARC	Secreted protein, acidic, cysteine-rich	GO:0007498	IEP	BP	NA
FBgn0026562	SPARC	Secreted protein, acidic, cysteine-rich	GO:0007504	IMP	BP	NA
FBgn0026562	SPARC	Secreted protein, acidic, cysteine-rich	GO:0030536	IMP	BP	NA
FBgn0026562	SPARC	Secreted protein, acidic, cysteine-rich	GO:0031012	ISS	CC	NA
FBgn0026562	SPARC	Secreted protein, acidic, cysteine-rich	GO:0048856	IBA	BP	NA
FBgn0026562	SPARC	Secreted protein, acidic, cysteine-rich	GO:0050840	IBA	MF	NA
FBgn0026562	SPARC	Secreted protein, acidic, cysteine-rich	GO:0060438	IMP	BP	NA
FBgn0026562	SPARC	Secreted protein, acidic, cysteine-rich	GO:0061327	IMP	BP	NA
FBgn0026562	SPARC	Secreted protein, acidic, cysteine-rich	GO:0062023	HDA	CC	NA
FBgn0026562	SPARC	Secreted protein, acidic, cysteine-rich	GO:0070278	IMP	BP	NA
FBgn0026562	SPARC	Secreted protein, acidic, cysteine-rich	GO:0070831	IMP	BP	NA
FBgn0001226	Hsp27	Heat shock protein 27	GO:0005515	IPI	MF	NA
FBgn0001226	Hsp27	Heat shock protein 27	GO:0005634	HDA	CC	NA
FBgn0001226	Hsp27	Heat shock protein 27	GO:0005634	IBA	CC	NA
FBgn0001226	Hsp27	Heat shock protein 27	GO:0005737	HDA	CC	NA
FBgn0001226	Hsp27	Heat shock protein 27	GO:0005737	IBA	CC	NA
FBgn0001226	Hsp27	Heat shock protein 27	GO:0008340	IMP	BP	NA
FBgn0001226	Hsp27	Heat shock protein 27	GO:0009408	IBA	BP	NA
FBgn0001226	Hsp27	Heat shock protein 27	GO:0009408	IDA	BP	NA
FBgn0001226	Hsp27	Heat shock protein 27	GO:0034663	IPI	CC	NA
FBgn0001226	Hsp27	Heat shock protein 27	GO:0042026	IBA	BP	NA
FBgn0001226	Hsp27	Heat shock protein 27	GO:0042026	IDA	BP	NA
FBgn0001226	Hsp27	Heat shock protein 27	GO:0042595	IMP	BP	NA
FBgn0001226	Hsp27	Heat shock protein 27	GO:0042742	IMP	BP	NA
FBgn0001226	Hsp27	Heat shock protein 27	GO:0050832	IMP	BP	NA
FBgn0001226	Hsp27	Heat shock protein 27	GO:0051082	IBA	MF	NA
FBgn0001226	Hsp27	Heat shock protein 27	GO:0051082	IDA	MF	NA
FBgn0001226	Hsp27	Heat shock protein 27	GO:0051082	ISM	MF	NA
FBgn0001226	Hsp27	Heat shock protein 27	GO:0061077	IDA	BP	NA
FBgn0001226	Hsp27	Heat shock protein 27	GO:0061077	ISM	BP	NA
FBgn0039109	CG10365	uncharacterized protein	GO:0003839	IBA	MF	NA
FBgn0039109	CG10365	uncharacterized protein	GO:0003839	IEA	MF	NA
FBgn0039109	CG10365	uncharacterized protein	GO:0005112	ISS	MF	NA
FBgn0039109	CG10365	uncharacterized protein	GO:0005737	IBA	CC	NA
FBgn0039109	CG10365	uncharacterized protein	GO:0005802	ISS	CC	NA
FBgn0039109	CG10365	uncharacterized protein	GO:0006751	IBA	BP	NA
FBgn0039109	CG10365	uncharacterized protein	GO:0006751	IEA	BP	NA
FBgn0039109	CG10365	uncharacterized protein	GO:0022008	ISS	BP	NA
FBgn0039109	CG10365	uncharacterized protein	GO:0061928	ISS	MF	NA
FBgn0016715	Reg-2	Rhythmically expressed gene 2	GO:0005634	IBA	CC	NA
FBgn0052407	CG32407	uncharacterized protein	GO:0005768	ISS	CC	NA
FBgn0052407	CG32407	uncharacterized protein	GO:0008526	ISS	MF	NA
FBgn0052407	CG32407	uncharacterized protein	GO:0012505	IBA	CC	NA
FBgn0052407	CG32407	uncharacterized protein	GO:0015914	ISS	BP	NA
FBgn0052407	CG32407	uncharacterized protein	GO:0140284	IBA	CC	NA
FBgn0032405	firl	firelighter	GO:0005811	IBA	CC	NA
FBgn0032405	firl	firelighter	GO:0016491	IEA	MF	NA
FBgn0032405	firl	firelighter	GO:0016616	IBA	MF	NA
FBgn0003748	Treh	Trehalase	GO:0004555	IBA	MF	00500
FBgn0003748	Treh	Trehalase	GO:0004555	IDA	MF	00500
FBgn0003748	Treh	Trehalase	GO:0004555	IEA	MF	00500
FBgn0003748	Treh	Trehalase	GO:0004555	IMP	MF	00500
FBgn0003748	Treh	Trehalase	GO:0005737	IDA	CC	00500
FBgn0003748	Treh	Trehalase	GO:0005975	IEA	BP	00500
FBgn0003748	Treh	Trehalase	GO:0005991	IEA	BP	00500
FBgn0003748	Treh	Trehalase	GO:0005991	IMP	BP	00500
FBgn0003748	Treh	Trehalase	GO:0005993	IBA	BP	00500
FBgn0003748	Treh	Trehalase	GO:0005993	IMP	BP	00500
FBgn0003748	Treh	Trehalase	GO:0005993	ISS	BP	00500
FBgn0003748	Treh	Trehalase	GO:0097150	IMP	BP	00500
FBgn0024288	Sox100B	Sox100B	GO:0000978	IBA	MF	NA
FBgn0024288	Sox100B	Sox100B	GO:0000981	IBA	MF	NA
FBgn0024288	Sox100B	Sox100B	GO:0005634	IBA	CC	NA
FBgn0024288	Sox100B	Sox100B	GO:0006357	IBA	BP	NA
FBgn0024288	Sox100B	Sox100B	GO:0008584	IEP	BP	NA
FBgn0024288	Sox100B	Sox100B	GO:0008584	IMP	BP	NA
FBgn0050147	Hil	Hillarin	GO:0005515	IPI	MF	NA
FBgn0050147	Hil	Hillarin	GO:0005938	IDA	CC	NA
FBgn0050147	Hil	Hillarin	GO:0032154	IDA	CC	NA
FBgn0001224	Hsp23	Heat shock protein 23	GO:0001666	IEP	BP	NA
FBgn0001224	Hsp23	Heat shock protein 23	GO:0001666	IMP	BP	NA
FBgn0001224	Hsp23	Heat shock protein 23	GO:0005515	IPI	MF	NA
FBgn0001224	Hsp23	Heat shock protein 23	GO:0005634	IBA	CC	NA
FBgn0001224	Hsp23	Heat shock protein 23	GO:0005737	IBA	CC	NA
FBgn0001224	Hsp23	Heat shock protein 23	GO:0005829	IDA	CC	NA
FBgn0001224	Hsp23	Heat shock protein 23	GO:0009408	IBA	BP	NA
FBgn0001224	Hsp23	Heat shock protein 23	GO:0009408	IDA	BP	NA
FBgn0001224	Hsp23	Heat shock protein 23	GO:0009631	IEP	BP	NA
FBgn0001224	Hsp23	Heat shock protein 23	GO:0042026	IBA	BP	NA
FBgn0001224	Hsp23	Heat shock protein 23	GO:0042026	IDA	BP	NA
FBgn0001224	Hsp23	Heat shock protein 23	GO:0051082	IBA	MF	NA
FBgn0001224	Hsp23	Heat shock protein 23	GO:0051082	IDA	MF	NA
FBgn0001224	Hsp23	Heat shock protein 23	GO:0051082	ISM	MF	NA
FBgn0001224	Hsp23	Heat shock protein 23	GO:0061077	IDA	BP	NA
FBgn0001224	Hsp23	Heat shock protein 23	GO:0061077	ISM	BP	NA
FBgn0063649	CG6006	uncharacterized protein	GO:0016020	IEA	CC	NA
FBgn0063649	CG6006	uncharacterized protein	GO:0022857	IEA	MF	NA
FBgn0063649	CG6006	uncharacterized protein	GO:0055085	IEA	BP	NA
FBgn0040827	CG13315	uncharacterized protein	NA	NA	NA	NA
FBgn0085359	CG34330	uncharacterized protein	NA	NA	NA	NA
FBgn0037290	CG1124	uncharacterized protein	GO:0005615	IBA	CC	NA
FBgn0037290	CG1124	uncharacterized protein	GO:0005615	ISS	CC	NA
FBgn0037290	CG1124	uncharacterized protein	GO:0032504	IBA	BP	NA
